"p_complete","age_sex","date","year","area","length","width"
"N","male","20160125","2016",1.96035810149113,3.04812421148929,0.926412463760517
"N","male","20160125","2016",2.06950043529174,2.87660629705255,1.11255301165937
NA,"male","20160125","2016",3.03142416486205,3.83106576354723,1.15195140338059
NA,"male","20160125","2016",2.2513784845313,3.0760408611825,1.03445227709773
NA,"male","20160125","2016",3.13406537069874,3.88703829495305,1.11429909238545
NA,"female","20160125","2016",1.43991675473522,2.44928327878585,0.828293904070201
NA,"male","20160125","2016",3.06825416126826,3.72261168708467,1.20779764544636
NA,"male","20160125","2016",2.26055662965466,3.24937730725031,1.06744532958699
"N","male","20160125","2016",1.99538780845317,2.97774468147546,1.01239000756235
NA,"male","20160125","2016",1.80165724019661,2.89270620197627,0.908232004885165
NA,"male","20160125","2016",2.20037755131347,3.1517364571723,1.03403404078556
NA,"pup","20160125","2016",0.179282472342074,0.684707818467433,0.30850395784502
NA,"male","20160125","2016",1.94325117932981,3.13244282999562,0.920710233389931
NA,"male","20160125","2016",1.7969645531799,2.98761716186036,0.835261742908996
NA,"male","20160125","2016",2.45075964630717,3.18749437559035,1.07989046970064
NA,"male","20160125","2016",2.21991015451479,3.07055868962011,1.04806441920437
NA,"male","20160125","2016",1.87719115766764,2.87439580794797,0.915113549292744
NA,"male","20160125","2016",1.80964807703447,2.78282375551464,0.949636069422853
NA,"male","20160125","2016",1.90229404766196,2.76663592056168,0.965759354195539
NA,"male","20160125","2016",2.17423512844427,2.94963895842014,1.05259879451983
NA,"male","20160125","2016",1.22334293408642,2.52147928141664,0.706378399520132
NA,"male","20160125","2016",2.40704480914317,3.11172027283212,1.09031571804909
NA,"male","20160125","2016",2.89108756183737,3.74019874798172,1.11290915532425
NA,"male","20160125","2016",2.08307086397445,3.00935254262229,1.02007940691148
NA,"male","20160125","2016",2.330614586943,3.27235203674289,1.01349453318178
NA,"male","20160125","2016",2.10274059834506,2.99057977444844,0.990540476587032
NA,"male","20160125","2016",2.18558124410254,3.12286197282061,1.01040706920925
NA,"male","20160125","2016",2.3919238109116,3.22340824908873,1.09559137203717
NA,"male","20160125","2016",2.90253579948443,3.25711938955518,1.21328744916817
NA,"female","20160125","2016",1.2425278457724,2.25950083693773,0.702134179926388
NA,"female","20160125","2016",1.88222577853111,2.80576858290951,0.956528525677354
NA,"male","20160125","2016",2.03977327699652,2.98087681287904,0.972964364330284
NA,"female","20160125","2016",1.37052998897491,2.46547726680426,0.787406522571344
NA,"female","20160125","2016",1.45921051311387,2.43501070881579,0.862392773511683
NA,"female","20160125","2016",1.06202883148388,2.16045161666303,0.677175479656865
NA,"female","20160125","2016",1.4716514521043,2.60037815889985,0.810763497843694
NA,"female","20160125","2016",1.27061471257915,2.30702745350529,0.790378702916416
NA,"female","20160125","2016",1.37268582432015,2.2119655952386,0.893811694253597
"N","pup","20160125","2016",0.735841411887537,1.5778065712573,0.605290707978015
NA,"female","20160125","2016",1.27194822047547,2.17253226270365,0.845341804035734
NA,"female","20160125","2016",1.56275545177313,2.52672752293971,0.891149223340958
"N","male","20160125","2016",2.67792314694817,3.3227270423921,1.16510054431969
NA,"female","20160125","2016",1.29487032667007,2.31114576620354,0.806374861852852
NA,"female","20160125","2016",1.10749809851226,2.2390210056625,0.681319226823365
"N","female","20160125","2016",1.16294273596803,2.11078040972154,0.789926687447072
NA,"female","20160125","2016",1.25018673949057,2.44668925821306,0.740034794274074
"N","female","20160125","2016",1.45362402909605,2.42412929359147,0.866391136027738
